Item Name,Price Lookup Name,Category,Available Quantity,Quantity to Sell,Suggested Price,Source,Already Listed,Current Listed Quantity,Current Vendor Price,Market Low,Market High,Pricing Source,Pricing Notes,Price Checked,Level,Legendary Stars,Legendary Effects
Bobblehead: Leader,Bobblehead: Leader,AID,2,,400,STASH,NO,,,,,Community baseline (2026),Recent 2026 community leader-bobblehead range,2026-07-11,,,
Bobblehead: Lock Picking,Bobblehead: Lock Picking,AID,1,,50,STASH,NO,,,,,Community baseline (2026),Bobblehead community baseline,2026-07-11,,,
Bobblehead: Repair,Bobblehead: Repair,AID,3,,50,STASH,NO,,,,,Community baseline (2026),Bobblehead community baseline,2026-07-11,,,
Bobblehead: Science,Bobblehead: Science,AID,1,,50,STASH,NO,,,,,Community baseline (2026),Bobblehead community baseline,2026-07-11,,,
Bobblehead: Small Guns,Bobblehead: Small Guns,AID,3,,50,STASH,NO,,,,,Community baseline (2026),Bobblehead community baseline,2026-07-11,,,
Bobblehead: Sneak,Bobblehead: Sneak,AID,1,,50,STASH,NO,,,,,Community baseline (2026),Bobblehead community baseline,2026-07-11,,,
Bobblehead: Strength,Bobblehead: Strength,AID,1,,50,STASH,NO,,,,,Community baseline (2026),Bobblehead community baseline,2026-07-11,,,
Bobblehead: Unarmed,Bobblehead: Unarmed,AID,1,,50,STASH,NO,,,,,Community baseline (2026),Bobblehead community baseline,2026-07-11,,,
Buffout,Buffout,AID,20,,15,STASH,NO,,,,,Community baseline (2026),Common chem quick-sale baseline,2026-07-11,,,
Calmex,Calmex,AID,4,,15,STASH,NO,,,,,Community baseline (2026),Common chem quick-sale baseline,2026-07-11,,,
Chameleon Serum,Chameleon Serum,AID,1,1,400,STASH,YES,1,2000,,,Community baseline (2026),Recent community serum range is approximately 400-500 caps,2026-07-11,,,
Eagle Eyes Serum,Eagle Eyes Serum,AID,4,4,400,STASH,YES,4,900,,,Community baseline (2026),Recent community serum range is approximately 400-500 caps,2026-07-11,,,
Egg Head Serum,Egg Head Serum,AID,4,4,400,STASH,YES,4,900,,,Community baseline (2026),Recent community serum range is approximately 400-500 caps,2026-07-11,,,
Electrically Charged Serum,Electrically Charged Serum,AID,1,1,400,STASH,YES,1,2000,,,Community baseline (2026),Recent community serum range is approximately 400-500 caps,2026-07-11,,,
Empath Serum,Empath Serum,AID,1,1,400,STASH,YES,1,2000,,,Community baseline (2026),Recent community serum range is approximately 400-500 caps,2026-07-11,,,
Fury,Fury,AID,5,,15,PLAYER,NO,,,,,Community baseline (2026),Common chem quick-sale baseline,2026-07-11,,,
Glowing Blood,Glowing Blood,AID,108,7,10,STASH,YES,7,30,,,Community baseline (2026),Quick-sale aid price,2026-07-11,,,
Glowing Blood Pack,Glowing Blood Pack,AID,5,,10,STASH,NO,,,,,Community baseline (2026),Common aid quick-sale baseline,2026-07-11,,,
Glowing Bobblehead: Endurance,Glowing Bobblehead: Endurance,AID,1,,250,STASH,NO,,,,,Community baseline (2026),Glowing bobblehead collector baseline,2026-07-11,,,
Glowing Bobblehead: Lock Picking,Glowing Bobblehead: Lock Picking,AID,1,,250,STASH,NO,,,,,Community baseline (2026),Glowing bobblehead collector baseline,2026-07-11,,,
Glowing Bobblehead: Unarmed,Glowing Bobblehead: Unarmed,AID,2,,250,STASH,NO,,,,,Community baseline (2026),Glowing bobblehead collector baseline,2026-07-11,,,
Grape Mentats,Grape Mentats,AID,1,,15,PLAYER,NO,,,,,Community baseline (2026),Common chem quick-sale baseline,2026-07-11,,,
Grognak the Barbarian 8,Grognak the Barbarian 8,AID,2,,50,STASH,NO,,,,,Community baseline (2026),Magazine community baseline,2026-07-11,,,
Grounded Serum,Grounded Serum,AID,2,2,400,STASH,YES,2,2000,,,Community baseline (2026),Recent community serum range is approximately 400-500 caps,2026-07-11,,,
Guns and Bullets 1,Guns and Bullets 1,AID,1,,50,STASH,NO,,,,,Community baseline (2026),Magazine community baseline,2026-07-11,,,
Guns and Bullets 3,Guns and Bullets 3,AID,1,,50,STASH,NO,,,,,Community baseline (2026),Magazine community baseline,2026-07-11,,,
Guns and Bullets 4,Guns and Bullets 4,AID,1,,50,STASH,NO,,,,,Community baseline (2026),Magazine community baseline,2026-07-11,,,
Guns and Bullets 6,Guns and Bullets 6,AID,1,,50,STASH,NO,,,,,Community baseline (2026),Magazine community baseline,2026-07-11,,,
Healing Factor Serum,Healing Factor Serum,AID,4,4,400,STASH,YES,4,900/2000,,,Community baseline (2026),Recent community serum range is approximately 400-500 caps,2026-07-11,,,
Herbivore Serum,Herbivore Serum,AID,2,2,400,STASH,YES,2,2000,,,Community baseline (2026),Recent community serum range is approximately 400-500 caps,2026-07-11,,,
Herd Mentality Serum,Herd Mentality Serum,AID,2,2,400,STASH,YES,2,2000,,,Community baseline (2026),Recent community serum range is approximately 400-500 caps,2026-07-11,,,
High-Radiation Fluids,High-Radiation Fluids,AID,2,,25,STASH,NO,,,,,Community baseline (2026),Flux-crafting material baseline,2026-07-11,,,
Live & Love 2,Live & Love 2,AID,2,,50,STASH,NO,,,,,Community baseline (2026),Magazine community baseline,2026-07-11,,,
Live & Love 4,Live & Love 4,AID,1,,50,STASH,NO,,,,,Community baseline (2026),Magazine community baseline,2026-07-11,,,
Live & Love 8,Live & Love 8,AID,3,,100,STASH,NO,,,,,Community baseline (2026),Higher-demand magazine baseline,2026-07-11,,,
Marsupial Serum,Marsupial Serum,AID,1,1,400,STASH,YES,1,2000,,,Community baseline (2026),Recent community serum range is approximately 400-500 caps,2026-07-11,,,
Med-X,Med-X,AID,16,,15,PLAYER,NO,,,,,Community baseline (2026),Common chem quick-sale baseline,2026-07-11,,,
Mentats,Mentats,AID,8,,15,STASH,NO,,,,,Community baseline (2026),Common chem quick-sale baseline,2026-07-11,,,
Orange Mentats,Orange Mentats,AID,2,,15,STASH,NO,,,,,Community baseline (2026),Common chem quick-sale baseline,2026-07-11,,,
Phantom Device,Phantom Device,AID,1,1,50,STASH,YES,1,100,,,Community baseline (2026),Low-demand consumable,2026-07-11,,,
Plague Walker Serum,Plague Walker Serum,AID,3,3,400,STASH,YES,3,900,,,Community baseline (2026),Recent community serum range is approximately 400-500 caps,2026-07-11,,,
Psycho,Psycho,AID,80,,15,PLAYER+STASH,NO,,,,,Community baseline (2026),Common chem quick-sale baseline,2026-07-11,,,
Psychobuff,Psychobuff,AID,13,,15,PLAYER+STASH,NO,,,,,Community baseline (2026),Common chem quick-sale baseline,2026-07-11,,,
Psychotats,Psychotats,AID,21,,15,PLAYER+STASH,NO,,,,,Community baseline (2026),Common chem quick-sale baseline,2026-07-11,,,
Rad-X,Rad-X,AID,57,57,5,STASH,YES,57,25,,,Community baseline (2026),Abundant aid quick-sale price,2026-07-11,,,
Rad-X: Diluted,Rad-X: Diluted,AID,4,4,3,STASH,YES,4,15,,,Community baseline (2026),Abundant aid quick-sale price,2026-07-11,,,
RadAway,RadAway,AID,62,62,5,STASH,YES,62,25,,,Community baseline (2026),Abundant aid quick-sale price,2026-07-11,,,
Scaly Skin Serum,Scaly Skin Serum,AID,4,4,400,STASH,YES,4,900,,,Community baseline (2026),Recent community serum range is approximately 400-500 caps,2026-07-11,,,
Scouts' Life 10,Scouts' Life 10,AID,1,,50,STASH,NO,,,,,Community baseline (2026),Magazine community baseline,2026-07-11,,,
Scouts' Life 3,Scouts' Life 3,AID,1,,50,STASH,NO,,,,,Community baseline (2026),Magazine community baseline,2026-07-11,,,
Scouts' Life 6,Scouts' Life 6,AID,1,,50,PLAYER,NO,,,,,Community baseline (2026),Magazine community baseline,2026-07-11,,,
Scouts' Life 8,Scouts' Life 8,AID,2,,50,STASH,NO,,,,,Community baseline (2026),Magazine community baseline,2026-07-11,,,
Stealth Boy,Stealth Boy,AID,5,1,50,STASH,YES,1,265,,,Community baseline (2026),Common utility consumable,2026-07-11,,,
Stealth Boy Mark III,Stealth Boy Mark III,AID,1,,100,STASH,NO,,,,,Community baseline (2026),Upgraded utility consumable,2026-07-11,,,
Stimpak,Stimpak,AID,303,281,10,PLAYER+STASH,YES,281,30,,,Community baseline (2026),Abundant aid quick-sale price,2026-07-11,,,
Stimpak: Diluted,Stimpak: Diluted,AID,10,10,5,STASH,YES,10,11,,,Community baseline (2026),Abundant aid quick-sale price,2026-07-11,,,
Stimpak: Super,Stimpak: Super,AID,140,,15,STASH,NO,,,,,Community baseline (2026),Abundant aid quick-sale price,2026-07-11,,,
Tales from the West Virginia Hills 2,Tales from the West Virginia Hills 2,AID,1,,50,STASH,NO,,,,,Community baseline (2026),Magazine community baseline,2026-07-11,,,
Tales from the West Virginia Hills 3,Tales from the West Virginia Hills 3,AID,1,,50,STASH,NO,,,,,Community baseline (2026),Magazine community baseline,2026-07-11,,,
Talons Serum,Talons Serum,AID,1,1,400,STASH,YES,1,900,,,Community baseline (2026),Recent community serum range is approximately 400-500 caps,2026-07-11,,,
Tesla Science 1,Tesla Science 1,AID,1,,50,STASH,NO,,,,,Community baseline (2026),Magazine community baseline,2026-07-11,,,
Tesla Science 2,Tesla Science 2,AID,1,,50,STASH,NO,,,,,Community baseline (2026),Magazine community baseline,2026-07-11,,,
Tesla Science 5,Tesla Science 5,AID,1,,50,STASH,NO,,,,,Community baseline (2026),Magazine community baseline,2026-07-11,,,
Tesla Science 7,Tesla Science 7,AID,1,,50,STASH,NO,,,,,Community baseline (2026),Magazine community baseline,2026-07-11,,,
Tesla Science 9,Tesla Science 9,AID,1,,50,STASH,NO,,,,,Community baseline (2026),Magazine community baseline,2026-07-11,,,
Tumblers Today 1,Tumblers Today 1,AID,1,,50,STASH,NO,,,,,Community baseline (2026),Magazine community baseline,2026-07-11,,,
Twisted Muscles Serum,Twisted Muscles Serum,AID,4,4,400,STASH,YES,4,1500,,,Community baseline (2026),Recent community serum range is approximately 400-500 caps,2026-07-11,,,
U.S. Covert Operations Manual 1,U.S. Covert Operations Manual 1,AID,1,,50,PLAYER,NO,,,,,Community baseline (2026),Magazine community baseline,2026-07-11,,,
U.S. Covert Operations Manual 4,U.S. Covert Operations Manual 4,AID,1,,50,STASH,NO,,,,,Community baseline (2026),Magazine community baseline,2026-07-11,,,
U.S. Covert Operations Manual 9,U.S. Covert Operations Manual 9,AID,1,,50,PLAYER,NO,,,,,Community baseline (2026),Magazine community baseline,2026-07-11,,,
Unstable Isotope Serum,Unstable Isotope Serum,AID,8,8,400,STASH,YES,8,900,,,Community baseline (2026),Recent community serum range is approximately 400-500 caps,2026-07-11,,,
Unstoppables 1,Unstoppables 1,AID,1,,50,STASH,NO,,,,,Community baseline (2026),Magazine community baseline,2026-07-11,,,
Unstoppables 3,Unstoppables 3,AID,1,,50,STASH,NO,,,,,Community baseline (2026),Magazine community baseline,2026-07-11,,,
.308 Round,.308 Round,AMMO,15,,1,PLAYER,NO,,,,,Community baseline (2026),Community standard for ordinary ammunition,2026-07-11,,,
.38 Round,.38 Round,AMMO,11,,1,PLAYER,NO,,,,,Community baseline (2026),Community standard for ordinary ammunition,2026-07-11,,,
.44 Round,.44 Round,AMMO,23,,1,PLAYER,NO,,,,,Community baseline (2026),Community standard for ordinary ammunition,2026-07-11,,,
.45 Round,.45 Round,AMMO,5270,,1,PLAYER,NO,,,,,Community baseline (2026),Community standard for ordinary ammunition,2026-07-11,,,
.50 Caliber Ball,.50 Caliber Ball,AMMO,8,,1,PLAYER,NO,,,,,Community baseline (2026),Community standard for ordinary ammunition,2026-07-11,,,
10mm Round,10mm Round,AMMO,25,,1,PLAYER,NO,,,,,Community baseline (2026),Community standard for ordinary ammunition,2026-07-11,,,
2mm Electromagnetic Cartridge,2mm Electromagnetic Cartridge,AMMO,2818,,1,PLAYER,NO,,,,,Community baseline (2026),Community standard for ordinary ammunition,2026-07-11,,,
Camera Film,Camera Film,AMMO,177,,1,PLAYER,NO,,,,,Community baseline (2026),Community standard for ordinary ammunition,2026-07-11,,,
Fuel,Fuel,AMMO,1270,,1,PLAYER,NO,,,,,Community baseline (2026),Community standard for ordinary ammunition,2026-07-11,,,
Fusion Cell,Fusion Cell,AMMO,10,,1,PLAYER,NO,,,,,Community baseline (2026),Community standard for ordinary ammunition,2026-07-11,,,
Fusion Core,Fusion Core,AMMO,14,,50,PLAYER+STASH,NO,,,,,Community baseline (2026),Core baseline; charge level can affect demand,2026-07-11,,,
Plasma Core,Plasma Core,AMMO,57,,25,PLAYER,NO,,,,,Community baseline (2026),Core baseline; charge level can affect demand,2026-07-11,,,
Shotgun Shell,Shotgun Shell,AMMO,12,,1,PLAYER,NO,,,,,Community baseline (2026),Community standard for ordinary ammunition,2026-07-11,,,
Syringer Ammo,Syringer Ammo,AMMO,166,,1,PLAYER,NO,,,,,Community baseline (2026),Community standard for ordinary ammunition,2026-07-11,,,
Ultracite Plasma Cartridge,Ultracite Plasma Cartridge,AMMO,1248,,1,PLAYER,NO,,,,,Community baseline (2026),Community standard for ordinary ammunition,2026-07-11,,,
Ultracite Plasma Core,Ultracite Plasma Core,AMMO,40,,30,PLAYER,NO,,,,,Community baseline (2026),Ultracite core baseline,2026-07-11,,,
Brotherhood Scribe Outfit,Brotherhood Scribe Outfit,APPAREL,1,,63,STASH,NO,,,,,NukaTrader,https://nukatrader.com/apparel/brotherhood-scribe-outfit/,2026-07-11,,,
Enclave Officer Hat,Enclave Officer Hat,APPAREL,1,,50,STASH,NO,,,,,NukaTrader,https://nukatrader.com/apparel/enclave-officer-hat/,2026-07-11,,,
Enclave Officer Uniform,Enclave Officer Uniform,APPAREL,1,,63,STASH,NO,,,,,NukaTrader,https://nukatrader.com/apparel/enclave-officer-uniform/,2026-07-11,,,
Fasnacht Glowing Turkey Mask,Fasnacht Glowing Turkey Mask,APPAREL,1,,40000,STASH,NO,,,,,Community baseline (2026),TRADE-ONLY VALUE: vendor ceiling; verify before listing,2026-07-11,,,
Fasnacht Jackalope Mask,Fasnacht Jackalope Mask,APPAREL,1,,250,PLAYER,NO,,,,,Community baseline (2026),Non-glowing Fasnacht mask community baseline,2026-07-11,,,
Fasnacht Winter Man Mask,Fasnacht Winter Man Mask,APPAREL,1,,30000,STASH,NO,,,,,NukaTrader,https://nukatrader.com/apparel/fasnacht-winter-man-mask/,2026-07-11,,,
Field Scribe's Hat,Field Scribe's Hat,APPAREL,1,,15,STASH,NO,,,,,NukaTrader,https://nukatrader.com/apparel/field-scribes-hat/,2026-07-11,,,
Field Scribe's Uniform,Field Scribe's Uniform,APPAREL,1,,48,STASH,NO,,,,,NukaTrader,https://nukatrader.com/apparel/field-scribes-uniform/,2026-07-11,,,
Fire Breather Helmet,Fire Breather Helmet,APPAREL,1,,75,STASH,NO,,,,,NukaTrader,https://nukatrader.com/apparel/fire-breather-helmet/,2026-07-11,,,
Fire Breather Uniform,Fire Breather Uniform,APPAREL,1,,63,STASH,NO,,,,,NukaTrader,https://nukatrader.com/apparel/fire-breather-uniform/,2026-07-11,,,
Lab Coat,Lab Coat,APPAREL,1,,8,STASH,NO,,,,,NukaTrader,https://nukatrader.com/apparel/lab-coat/,2026-07-11,,,
Radstag Hide Outfit,Radstag Hide Outfit,APPAREL,1,,28,STASH,NO,,,,,NukaTrader,https://nukatrader.com/apparel/radstag-hide-outfit/,2026-07-11,,,
Sheepsquatch Mascot Outfit,Sheepsquatch Mascot Outfit,APPAREL,1,,225,STASH,NO,,,,,NukaTrader,https://nukatrader.com/apparel/sheepsquatch-mascot-outfit/,2026-07-11,,,
Straight Jacket,Straight Jacket,APPAREL,1,,50,STASH,NO,,,,,NukaTrader,https://nukatrader.com/apparel/straight-jacket/,2026-07-11,,,
Tattered Dress,Tattered Dress,APPAREL,2,,8,STASH,NO,,,,,NukaTrader,https://nukatrader.com/apparel/tattered-dress/,2026-07-11,,,
VTU Jacket and Jeans,VTU Jacket and Jeans,APPAREL,1,,25,STASH,NO,,,,,NukaTrader,https://nukatrader.com/apparel/vtu-jacket-and-jeans/,2026-07-11,,,
White Wolf Fedora,White Wolf Fedora,APPAREL,1,,15,STASH,NO,,,,,NukaTrader,https://nukatrader.com/apparel/white-wolf-fedora/,2026-07-11,,,
Eye of Ra,Eye of Ra,ARMOR,1,,100,STASH,NO,,,,,Community baseline (2026),Common unique apparel/armor,2026-07-11,,,
Garb of Mysteries,Garb of Mysteries,ARMOR,2,,250,STASH,NO,,,,,Community baseline (2026),Common unique apparel/armor,2026-07-11,50,,
Hazmat Suit,Hazmat Suit,ARMOR,1,,50,STASH,NO,,,,,Community baseline (2026),Common protective apparel,2026-07-11,50,,
Overeater's Excavator Torso,Overeater's Excavator Torso,ARMOR,1,1,500,STASH,YES,1,2675,,,Community baseline (2026),Recent community baseline for a one-star legendary,2026-07-11,45,1,"SET BONUS (0/6) | +100 Carry Weight ½ | Increases Max Health up to +40 as you Fill Your Hunger and Thirst Meters. Currently disabled, Human mod only."
Bubblegum,Bubblegum,FOOD_WATER,25,1,10,PLAYER+STASH,YES,1,200,,,Community baseline (2026),Common consumable,2026-07-11,,,
Canned Coffee,Canned Coffee,FOOD_WATER,36,,50,PLAYER,NO,,,,,Community baseline (2026),Popular AP consumable,2026-07-11,,,
Cola Perk Bubblegum,Cola Perk Bubblegum,FOOD_WATER,6,,5,PLAYER+STASH,NO,,,,,Community baseline (2026),Common food/drink baseline,2026-07-11,,,
Dirty Water,Dirty Water,FOOD_WATER,1,,1,PLAYER,NO,,,,,Community baseline (2026),Low-demand food/water,2026-07-11,,,
Glowing Mass,Glowing Mass,FOOD_WATER,4,,5,STASH,NO,,,,,Community baseline (2026),Common food/drink baseline,2026-07-11,,,
Grape Perk Bubblegum,Grape Perk Bubblegum,FOOD_WATER,6,,5,STASH,NO,,,,,Community baseline (2026),Common food/drink baseline,2026-07-11,,,
Honey,Honey,FOOD_WATER,23,,5,PLAYER,NO,,,,,Community baseline (2026),Common food/drink baseline,2026-07-11,,,
Nuka-Cherry,Nuka-Cherry,FOOD_WATER,2,,5,PLAYER,NO,,,,,Community baseline (2026),Common food/drink baseline,2026-07-11,,,
Nuka-Cola,Nuka-Cola,FOOD_WATER,7,,5,PLAYER,NO,,,,,Community baseline (2026),Common food/drink baseline,2026-07-11,,,
Nuka-Cola Quantum,Nuka-Cola Quantum,FOOD_WATER,1,,25,STASH,NO,,,,,Community baseline (2026),Popular specialty drink,2026-07-11,,,
Nuka-Cola Twist,Nuka-Cola Twist,FOOD_WATER,4,,5,PLAYER,NO,,,,,Community baseline (2026),Common food/drink baseline,2026-07-11,,,
Pepper,Pepper,FOOD_WATER,40,,10,PLAYER+STASH,NO,,,,,Community baseline (2026),Cooking ingredient baseline,2026-07-11,,,
Salt,Salt,FOOD_WATER,46,,10,PLAYER+STASH,NO,,,,,Community baseline (2026),Cooking ingredient baseline,2026-07-11,,,
Spices,Spices,FOOD_WATER,16,,10,STASH,NO,,,,,Community baseline (2026),Cooking ingredient baseline,2026-07-11,,,
Spoiled Meat,Spoiled Meat,FOOD_WATER,7,,1,PLAYER,NO,,,,,Community baseline (2026),Low-demand food/water,2026-07-11,,,
Spoiled Vegetables,Spoiled Vegetables,FOOD_WATER,6,,1,PLAYER,NO,,,,,Community baseline (2026),Low-demand food/water,2026-07-11,,,
Strawberry Perk Bubblegum,Strawberry Perk Bubblegum,FOOD_WATER,8,,5,STASH,NO,,,,,Community baseline (2026),Common food/drink baseline,2026-07-11,,,
Sugar,Sugar,FOOD_WATER,29,,10,PLAYER+STASH,NO,,,,,Community baseline (2026),Cooking ingredient baseline,2026-07-11,,,
Toxic Goo,Toxic Goo,FOOD_WATER,177,,5,PLAYER,NO,,,,,Community baseline (2026),Common food/drink baseline,2026-07-11,,,
Vintage Mire Magic Moonshine,Vintage Mire Magic Moonshine,FOOD_WATER,12,,25,STASH,NO,,,,,Community baseline (2026),Event consumable,2026-07-11,,,
Vintage Nukashine,Vintage Nukashine,FOOD_WATER,13,,25,STASH,NO,,,,,Community baseline (2026),Specialty drink,2026-07-11,,,
Watermelon Perk Bubblegum,Watermelon Perk Bubblegum,FOOD_WATER,11,,5,STASH,NO,,,,,Community baseline (2026),Common food/drink baseline,2026-07-11,,,
A Lead at Last,A Lead at Last,HOLO,1,,10,PLAYER,NO,,,,,Community baseline (2026),Collector holotape baseline,2026-07-11,,,
Blackwater Mine: Orientation,Blackwater Mine: Orientation,HOLO,1,,10,STASH,NO,,,,,Community baseline (2026),Collector holotape baseline,2026-07-11,,,
BoS Archive: ARP Background,BoS Archive: ARP Background,HOLO,1,,10,STASH,NO,,,,,Community baseline (2026),Collector holotape baseline,2026-07-11,,,
BoS Report - Antique Store,BoS Report - Antique Store,HOLO,2,,10,STASH,NO,,,,,Community baseline (2026),Collector holotape baseline,2026-07-11,,,
Bridge Club Recording,Bridge Club Recording,HOLO,1,,10,STASH,NO,,,,,Community baseline (2026),Collector holotape baseline,2026-07-11,,,
Camp Guide Program v3.4,Camp Guide Program v3.4,HOLO,1,,10,STASH,NO,,,,,Community baseline (2026),Collector holotape baseline,2026-07-11,,,
Course Instructions,Course Instructions,HOLO,1,,10,STASH,NO,,,,,Community baseline (2026),Collector holotape baseline,2026-07-11,,,
Elder Maxson's Final Conversation,Elder Maxson's Final Conversation,HOLO,1,,10,STASH,NO,,,,,Community baseline (2026),Collector holotape baseline,2026-07-11,,,
Everything Changes,Everything Changes,HOLO,1,,10,STASH,NO,,,,,Community baseline (2026),Collector holotape baseline,2026-07-11,,,
Fire Breathers Final Exam Briefing,Fire Breathers Final Exam Briefing,HOLO,1,,10,STASH,NO,,,,,Community baseline (2026),Collector holotape baseline,2026-07-11,,,
First Day of Command,First Day of Command,HOLO,1,,10,STASH,NO,,,,,Community baseline (2026),Collector holotape baseline,2026-07-11,,,
Freddie Lang's Holotape,Freddie Lang's Holotape,HOLO,1,,10,STASH,NO,,,,,Community baseline (2026),Collector holotape baseline,2026-07-11,,,
Going well,Going well,HOLO,1,,10,STASH,NO,,,,,Community baseline (2026),Collector holotape baseline,2026-07-11,,,
Gym Session Notes,Gym Session Notes,HOLO,1,,10,STASH,NO,,,,,Community baseline (2026),Collector holotape baseline,2026-07-11,,,
Hornwright's Proposal,Hornwright's Proposal,HOLO,1,,10,STASH,NO,,,,,Community baseline (2026),Collector holotape baseline,2026-07-11,,,
I Hate Flatwoods,I Hate Flatwoods,HOLO,1,,10,STASH,NO,,,,,Community baseline (2026),Collector holotape baseline,2026-07-11,,,
"Interrogation: Doe, Jane","Interrogation: Doe, Jane",HOLO,1,,10,STASH,NO,,,,,Community baseline (2026),Collector holotape baseline,2026-07-11,,,
Jesus Sunday's Holotape - Part 5,Jesus Sunday's Holotape - Part 5,HOLO,3,,10,PLAYER+STASH,NO,,,,,Community baseline (2026),Collector holotape baseline,2026-07-11,,,
Joyce's Message,Joyce's Message,HOLO,1,,10,STASH,NO,,,,,Community baseline (2026),Collector holotape baseline,2026-07-11,,,
Light 'er Up,Light 'er Up,HOLO,1,,10,STASH,NO,,,,,Community baseline (2026),Collector holotape baseline,2026-07-11,,,
Margie McClintock's Holotape,Margie McClintock's Holotape,HOLO,1,,10,STASH,NO,,,,,Community baseline (2026),Collector holotape baseline,2026-07-11,,,
Morris Stevens' Holotape,Morris Stevens' Holotape,HOLO,1,,10,STASH,NO,,,,,Community baseline (2026),Collector holotape baseline,2026-07-11,,,
Mort's Edu-Tape #01: Placing Your C.A.M.P.,Mort's Edu-Tape #01: Placing Your C.A.M.P.,HOLO,1,,10,STASH,NO,,,,,Community baseline (2026),Collector holotape baseline,2026-07-11,,,
Mort's Edu-Tape #02: Building At Your C.A.M.P.,Mort's Edu-Tape #02: Building At Your C.A.M.P.,HOLO,1,,10,STASH,NO,,,,,Community baseline (2026),Collector holotape baseline,2026-07-11,,,
Mort's Edu-Tape #03: Powering Your C.A.M.P.,Mort's Edu-Tape #03: Powering Your C.A.M.P.,HOLO,1,,10,STASH,NO,,,,,Community baseline (2026),Collector holotape baseline,2026-07-11,,,
Nuka Tapper,Nuka Tapper,HOLO,1,,50,STASH,NO,,,,,Community baseline (2026),Collector holotape baseline,2026-07-11,,,
One Last Toast,One Last Toast,HOLO,1,,10,STASH,NO,,,,,Community baseline (2026),Collector holotape baseline,2026-07-11,,,
"Overseer's Journal, Entry 1","Overseer's Journal, Entry 1",HOLO,1,,10,STASH,NO,,,,,Community baseline (2026),Collector holotape baseline,2026-07-11,,,
"Overseer's Journal, Entry 2","Overseer's Journal, Entry 2",HOLO,1,,10,STASH,NO,,,,,Community baseline (2026),Collector holotape baseline,2026-07-11,,,
"Overseer's Journal, Entry 3","Overseer's Journal, Entry 3",HOLO,2,,10,STASH,NO,,,,,Community baseline (2026),Collector holotape baseline,2026-07-11,,,
"Overseer's Journal, Entry 5","Overseer's Journal, Entry 5",HOLO,1,,10,STASH,NO,,,,,Community baseline (2026),Collector holotape baseline,2026-07-11,,,
"Overseer's Journal, Entry 6","Overseer's Journal, Entry 6",HOLO,1,,10,STASH,NO,,,,,Community baseline (2026),Collector holotape baseline,2026-07-11,,,
